block_id,recording_id,electrode,word,session_token,block_file,channel_count,channel_ids,length_samples,sample_rate,status
block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/blocks/block_000001.npy,7,"1,2,3,5,6,7,8",379000,2000,processed
block_000002,agagcl:bye:s10,agagcl,bye,s10,processed/agagcl/operational/blocks/block_000002.npy,7,"1,2,3,5,6,7,8",383400,2000,processed
block_000003,agagcl:bye:s2,agagcl,bye,s2,processed/agagcl/operational/blocks/block_000003.npy,7,"1,2,3,5,6,7,8",377200,2000,processed
block_000004,agagcl:bye:s5,agagcl,bye,s5,processed/agagcl/operational/blocks/block_000004.npy,7,"1,2,3,5,6,7,8",376000,2000,processed
block_000005,agagcl:bye:s6,agagcl,bye,s6,processed/agagcl/operational/blocks/block_000005.npy,7,"1,2,3,5,6,7,8",387000,2000,processed
block_000006,agagcl:bye:s7,agagcl,bye,s7,processed/agagcl/operational/blocks/block_000006.npy,7,"1,2,3,5,6,7,8",372000,2000,processed
block_000007,agagcl:bye:s8,agagcl,bye,s8,processed/agagcl/operational/blocks/block_000007.npy,7,"1,2,3,5,6,7,8",383600,2000,processed
block_000008,agagcl:bye:s9,agagcl,bye,s9,processed/agagcl/operational/blocks/block_000008.npy,7,"1,2,3,5,6,7,8",399600,2000,processed
block_000009,agagcl:help:s1,agagcl,help,s1,processed/agagcl/operational/blocks/block_000009.npy,7,"1,2,3,5,6,7,8",375800,2000,processed
block_000010,agagcl:help:s10,agagcl,help,s10,processed/agagcl/operational/blocks/block_000010.npy,7,"1,2,3,5,6,7,8",383800,2000,processed
block_000011,agagcl:help:s2,agagcl,help,s2,processed/agagcl/operational/blocks/block_000011.npy,7,"1,2,3,5,6,7,8",390200,2000,processed
block_000012,agagcl:help:s3,agagcl,help,s3,processed/agagcl/operational/blocks/block_000012.npy,7,"1,2,3,5,6,7,8",378200,2000,processed
block_000013,agagcl:help:s4,agagcl,help,s4,processed/agagcl/operational/blocks/block_000013.npy,7,"1,2,3,5,6,7,8",389200,2000,processed
block_000014,agagcl:help:s5,agagcl,help,s5,processed/agagcl/operational/blocks/block_000014.npy,7,"1,2,3,5,6,7,8",376400,2000,processed
block_000015,agagcl:help:s6,agagcl,help,s6,processed/agagcl/operational/blocks/block_000015.npy,7,"1,2,3,5,6,7,8",405600,2000,processed
block_000016,agagcl:help:s7,agagcl,help,s7,processed/agagcl/operational/blocks/block_000016.npy,7,"1,2,3,5,6,7,8",387000,2000,processed
block_000017,agagcl:help:s8,agagcl,help,s8,processed/agagcl/operational/blocks/block_000017.npy,7,"1,2,3,5,6,7,8",379000,2000,processed
block_000018,agagcl:help:s9,agagcl,help,s9,processed/agagcl/operational/blocks/block_000018.npy,7,"1,2,3,5,6,7,8",377600,2000,processed
block_000019,agagcl:no:s1,agagcl,no,s1,processed/agagcl/operational/blocks/block_000019.npy,7,"1,2,3,5,6,7,8",383800,2000,processed
block_000020,agagcl:no:s10,agagcl,no,s10,processed/agagcl/operational/blocks/block_000020.npy,7,"1,2,3,5,6,7,8",372200,2000,processed
block_000021,agagcl:no:s2,agagcl,no,s2,processed/agagcl/operational/blocks/block_000021.npy,7,"1,2,3,5,6,7,8",377600,2000,processed
block_000022,agagcl:no:s3,agagcl,no,s3,processed/agagcl/operational/blocks/block_000022.npy,7,"1,2,3,5,6,7,8",448000,2000,processed
block_000023,agagcl:no:s4,agagcl,no,s4,processed/agagcl/operational/blocks/block_000023.npy,7,"1,2,3,5,6,7,8",395800,2000,processed
block_000024,agagcl:no:s5,agagcl,no,s5,processed/agagcl/operational/blocks/block_000024.npy,7,"1,2,3,5,6,7,8",388400,2000,processed
block_000025,agagcl:no:s6,agagcl,no,s6,processed/agagcl/operational/blocks/block_000025.npy,7,"1,2,3,5,6,7,8",378000,2000,processed
block_000026,agagcl:no:s7,agagcl,no,s7,processed/agagcl/operational/blocks/block_000026.npy,7,"1,2,3,5,6,7,8",372000,2000,processed
block_000027,agagcl:no:s8,agagcl,no,s8,processed/agagcl/operational/blocks/block_000027.npy,7,"1,2,3,5,6,7,8",377000,2000,processed
block_000028,agagcl:no:s9,agagcl,no,s9,processed/agagcl/operational/blocks/block_000028.npy,7,"1,2,3,5,6,7,8",374400,2000,processed
block_000029,agagcl:pain:pain_s1,agagcl,pain,pain_s1,processed/agagcl/operational/blocks/block_000029.npy,7,"1,2,3,5,6,7,8",379200,2000,processed
block_000030,agagcl:pain:pain_s10,agagcl,pain,pain_s10,processed/agagcl/operational/blocks/block_000030.npy,7,"1,2,3,5,6,7,8",375400,2000,processed
block_000031,agagcl:pain:pain_s2,agagcl,pain,pain_s2,processed/agagcl/operational/blocks/block_000031.npy,7,"1,2,3,5,6,7,8",385400,2000,processed
block_000032,agagcl:pain:pain_s3,agagcl,pain,pain_s3,processed/agagcl/operational/blocks/block_000032.npy,7,"1,2,3,5,6,7,8",372800,2000,processed
block_000033,agagcl:pain:pain_s4,agagcl,pain,pain_s4,processed/agagcl/operational/blocks/block_000033.npy,7,"1,2,3,5,6,7,8",374600,2000,processed
block_000034,agagcl:pain:pain_s5,agagcl,pain,pain_s5,processed/agagcl/operational/blocks/block_000034.npy,7,"1,2,3,5,6,7,8",373400,2000,processed
block_000035,agagcl:pain:pain_s6,agagcl,pain,pain_s6,processed/agagcl/operational/blocks/block_000035.npy,7,"1,2,3,5,6,7,8",376800,2000,processed
block_000036,agagcl:pain:pain_s7,agagcl,pain,pain_s7,processed/agagcl/operational/blocks/block_000036.npy,7,"1,2,3,5,6,7,8",375800,2000,processed
block_000037,agagcl:pain:pain_s8,agagcl,pain,pain_s8,processed/agagcl/operational/blocks/block_000037.npy,7,"1,2,3,5,6,7,8",386600,2000,processed
block_000038,agagcl:pain:pain_s9,agagcl,pain,pain_s9,processed/agagcl/operational/blocks/block_000038.npy,7,"1,2,3,5,6,7,8",378400,2000,processed
block_000039,agagcl:wait:s1,agagcl,wait,s1,processed/agagcl/operational/blocks/block_000039.npy,7,"1,2,3,5,6,7,8",377800,2000,processed
block_000040,agagcl:wait:s10,agagcl,wait,s10,processed/agagcl/operational/blocks/block_000040.npy,7,"1,2,3,5,6,7,8",384600,2000,processed
block_000041,agagcl:wait:s2,agagcl,wait,s2,processed/agagcl/operational/blocks/block_000041.npy,7,"1,2,3,5,6,7,8",417400,2000,processed
block_000042,agagcl:wait:s3,agagcl,wait,s3,processed/agagcl/operational/blocks/block_000042.npy,7,"1,2,3,5,6,7,8",384400,2000,processed
block_000043,agagcl:wait:s4,agagcl,wait,s4,processed/agagcl/operational/blocks/block_000043.npy,7,"1,2,3,5,6,7,8",397000,2000,processed
block_000044,agagcl:wait:s5,agagcl,wait,s5,processed/agagcl/operational/blocks/block_000044.npy,7,"1,2,3,5,6,7,8",394600,2000,processed
block_000045,agagcl:wait:s6,agagcl,wait,s6,processed/agagcl/operational/blocks/block_000045.npy,7,"1,2,3,5,6,7,8",395200,2000,processed
block_000046,agagcl:wait:s7,agagcl,wait,s7,processed/agagcl/operational/blocks/block_000046.npy,7,"1,2,3,5,6,7,8",398600,2000,processed
block_000047,agagcl:wait:s8,agagcl,wait,s8,processed/agagcl/operational/blocks/block_000047.npy,7,"1,2,3,5,6,7,8",390200,2000,processed
block_000048,agagcl:wait:s9,agagcl,wait,s9,processed/agagcl/operational/blocks/block_000048.npy,7,"1,2,3,5,6,7,8",379000,2000,processed
block_000049,agagcl:yes:yes_s2,agagcl,yes,yes_s2,processed/agagcl/operational/blocks/block_000049.npy,7,"1,2,3,5,6,7,8",377800,2000,processed
block_000050,agagcl:yes:yes_s3,agagcl,yes,yes_s3,processed/agagcl/operational/blocks/block_000050.npy,7,"1,2,3,5,6,7,8",396600,2000,processed
block_000051,agagcl:yes:yes_s4,agagcl,yes,yes_s4,processed/agagcl/operational/blocks/block_000051.npy,7,"1,2,3,5,6,7,8",376000,2000,processed
block_000052,agagcl:yes:yes_s5,agagcl,yes,yes_s5,processed/agagcl/operational/blocks/block_000052.npy,7,"1,2,3,5,6,7,8",376200,2000,processed
block_000053,agagcl:yes:yes_s6,agagcl,yes,yes_s6,processed/agagcl/operational/blocks/block_000053.npy,7,"1,2,3,5,6,7,8",376000,2000,processed
block_000054,agagcl:yes:yes_s7,agagcl,yes,yes_s7,processed/agagcl/operational/blocks/block_000054.npy,7,"1,2,3,5,6,7,8",388000,2000,processed
block_000055,agagcl:yes:yes_s8,agagcl,yes,yes_s8,processed/agagcl/operational/blocks/block_000055.npy,7,"1,2,3,5,6,7,8",377800,2000,processed
