recording_id,electrode,word,session_token,label_token,channel_count,available_channels,valid_channels,sample_count_min,sample_count_max,has_length_mismatch,suspicious_channel_count,load_error_count,qc_status,is_usable
agagcl:bye:s1,agagcl,bye,s1,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",379000,379000,False,0,0,ok,True
agagcl:bye:s10,agagcl,bye,s10,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",383400,383400,False,0,0,ok,True
agagcl:bye:s2,agagcl,bye,s2,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",377200,377200,False,0,0,ok,True
agagcl:bye:s3,agagcl,bye,s3,,8,"1,2,3,4,5,6,7,8","1,2,4,5,6,7,8",375400,375400,False,0,1,channel_qc_failures,False
agagcl:bye:s4,agagcl,bye,s4,,8,"1,2,3,4,5,6,7,8","2,5,6,7,8",383800,383800,False,0,3,channel_qc_failures,False
agagcl:bye:s5,agagcl,bye,s5,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",376000,376000,False,0,0,ok,True
agagcl:bye:s6,agagcl,bye,s6,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",387000,387000,False,0,0,ok,True
agagcl:bye:s7,agagcl,bye,s7,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",372000,372000,False,0,0,ok,True
agagcl:bye:s8,agagcl,bye,s8,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",383600,383600,False,0,0,ok,True
agagcl:bye:s9,agagcl,bye,s9,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",399600,399600,False,0,0,ok,True
agagcl:help:s1,agagcl,help,s1,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",375800,375800,False,0,0,ok,True
agagcl:help:s10,agagcl,help,s10,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",383800,383800,False,0,0,ok,True
agagcl:help:s2,agagcl,help,s2,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",390200,390200,False,0,0,ok,True
agagcl:help:s3,agagcl,help,s3,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",378200,378200,False,0,0,ok,True
agagcl:help:s4,agagcl,help,s4,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",389200,389200,False,0,0,ok,True
agagcl:help:s5,agagcl,help,s5,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",376400,376400,False,0,0,ok,True
agagcl:help:s6,agagcl,help,s6,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",405600,405600,False,0,0,ok,True
agagcl:help:s7,agagcl,help,s7,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",387000,387000,False,0,0,ok,True
agagcl:help:s8,agagcl,help,s8,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",379000,379000,False,0,0,ok,True
agagcl:help:s9,agagcl,help,s9,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",377600,377600,False,0,0,ok,True
agagcl:no:s1,agagcl,no,s1,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",383800,383800,False,0,0,ok,True
agagcl:no:s10,agagcl,no,s10,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",372200,372200,False,0,0,ok,True
agagcl:no:s2,agagcl,no,s2,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",377600,377600,False,0,0,ok,True
agagcl:no:s3,agagcl,no,s3,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",448000,448000,False,0,0,ok,True
agagcl:no:s4,agagcl,no,s4,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",395800,395800,False,0,0,ok,True
agagcl:no:s5,agagcl,no,s5,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",388400,388400,False,0,0,ok,True
agagcl:no:s6,agagcl,no,s6,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",378000,378000,False,0,0,ok,True
agagcl:no:s7,agagcl,no,s7,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",372000,372000,False,0,0,ok,True
agagcl:no:s8,agagcl,no,s8,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",377000,377000,False,0,0,ok,True
agagcl:no:s9,agagcl,no,s9,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",374400,374400,False,0,0,ok,True
agagcl:pain:pain_s1,agagcl,pain,pain_s1,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",379200,379200,False,0,0,ok,True
agagcl:pain:pain_s10,agagcl,pain,pain_s10,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",375400,375400,False,0,0,ok,True
agagcl:pain:pain_s2,agagcl,pain,pain_s2,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",385400,385400,False,0,0,ok,True
agagcl:pain:pain_s3,agagcl,pain,pain_s3,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",372800,372800,False,0,0,ok,True
agagcl:pain:pain_s4,agagcl,pain,pain_s4,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",374600,374600,False,0,0,ok,True
agagcl:pain:pain_s5,agagcl,pain,pain_s5,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",373400,373400,False,0,0,ok,True
agagcl:pain:pain_s6,agagcl,pain,pain_s6,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",376800,376800,False,0,0,ok,True
agagcl:pain:pain_s7,agagcl,pain,pain_s7,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",375800,375800,False,0,0,ok,True
agagcl:pain:pain_s8,agagcl,pain,pain_s8,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",386600,386600,False,0,0,ok,True
agagcl:pain:pain_s9,agagcl,pain,pain_s9,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",378400,378400,False,0,0,ok,True
agagcl:wait:s1,agagcl,wait,s1,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",377800,377800,False,0,0,ok,True
agagcl:wait:s10,agagcl,wait,s10,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",384600,384600,False,0,0,ok,True
agagcl:wait:s2,agagcl,wait,s2,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",417400,417400,False,0,0,ok,True
agagcl:wait:s3,agagcl,wait,s3,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",384400,384400,False,0,0,ok,True
agagcl:wait:s4,agagcl,wait,s4,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",397000,397000,False,0,0,ok,True
agagcl:wait:s5,agagcl,wait,s5,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",394600,394600,False,0,0,ok,True
agagcl:wait:s6,agagcl,wait,s6,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",395200,395200,False,0,0,ok,True
agagcl:wait:s7,agagcl,wait,s7,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",398600,398600,False,0,0,ok,True
agagcl:wait:s8,agagcl,wait,s8,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",390200,390200,False,0,0,ok,True
agagcl:wait:s9,agagcl,wait,s9,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",379000,379000,False,0,0,ok,True
agagcl:yes:yes_s2,agagcl,yes,yes_s2,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",377800,377800,False,0,0,ok,True
agagcl:yes:yes_s3,agagcl,yes,yes_s3,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",396600,396600,False,0,0,ok,True
agagcl:yes:yes_s4,agagcl,yes,yes_s4,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",376000,376000,False,0,0,ok,True
agagcl:yes:yes_s5,agagcl,yes,yes_s5,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",376200,376200,False,0,0,ok,True
agagcl:yes:yes_s6,agagcl,yes,yes_s6,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",376000,376000,False,0,0,ok,True
agagcl:yes:yes_s7,agagcl,yes,yes_s7,,7,"1,2,3,5,6,7,8","1,2,3,5,6,7,8",388000,388000,False,0,0,ok,True
agagcl:yes:yes_s8,agagcl,yes,yes_s8,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",377800,377800,False,0,0,ok,True
